"Sample","Library_Size"
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105871.SRR38105871",9068
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105877.SRR38105877",10371
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105837.SRR38105837",11034
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105878.SRR38105878",12683
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105580.SRR38105580",12845
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105860.SRR38105860",13878
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105620.SRR38105620",14318
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105720.SRR38105720",15349
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105719.SRR38105719",18783
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105779.SRR38105779",21307
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105750.SRR38105750",21863
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105875.SRR38105875",22005
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105721.SRR38105721",24954
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105874.SRR38105874",25545
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105769.SRR38105769",27816
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105724.SRR38105724",28044
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105703.SRR38105703",35779
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105726.SRR38105726",41404
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105766.SRR38105766",46110
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105625.SRR38105625",52667
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105791.SRR38105791",73516
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105650.SRR38105650",118695
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105800.SRR38105800",149984
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105624.SRR38105624",159215
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105554.SRR38105554",171822
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105725.SRR38105725",182761
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105621.SRR38105621",194269
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105765.SRR38105765",203273
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105880.SRR38105880",212384
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105784.SRR38105784",220818
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105667.SRR38105667",244611
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105863.SRR38105863",256512
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105579.SRR38105579",256717
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105583.SRR38105583",281607
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105743.SRR38105743",364614
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105751.SRR38105751",536948
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105744.SRR38105744",552473
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105593.SRR38105593",805311
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105629.SRR38105629",968049
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105746.SRR38105746",1321848
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105552.SRR38105552",3559503
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105630.SRR38105630",3678592
